"Vehicle Name","Vehicle URL","Vehicle Image","Vehicle Type","Total Stops","Starting Point","Ending Point","Station List"
"G-11","https://mnzil.app/./vehicles/G-11","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","38","Yousuf Goth","Maroora Goth Bus Stop","Yousuf Goth
Hub River road
Murshid Hospital
Mach Mor
Traffic Police Kiosk - Baldia 2
Philips Factory - SITE Karachi
SITE Police Station - A
Metroville Khyber Gate
Frontier Morr Metroville
Badar Chowk
Orangi 4
Orangi 5
Metro Cinema
Banaras Bus Stop
Abdullah Govt College for Women
Board Office Chowrangi
KDA Chowrangi
Bank Quarters -- North Nazimabad
Ziauddin Hospital - North Nazimabad
Moosa Colony - Gulberg Town
Karimabad - Meena Bazaar
Naseerabad - Gulberg Town
Water Pump
Lucky One Mall
Moti Mahal
Gulshan Chowrangi
NIPA Chowrangi
Karachi Safari Park
Metro Safari Store
Abdullah Apartments - Gulistan-e-johar
Johar Mor
Continental Sweets & Bakers - Gulistan-e-Johar
Johar Chowrangi
Rabia City- Gulistan-e-Johar
Pehlwan Goth
Safoora Chowrangi
Kiran Hospital
Maroora Goth Bus Stop"
"G-13","https://mnzil.app/./vehicles/G-13","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","7","Banaras Bus Stop","Karimabad - Meena Bazaar",""
"G-17","https://mnzil.app/./vehicles/G-17","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","25","Mach Mor","Safoora Chowrangi","Board Office Chowrangi
Hyderi Market
Sakhi Hasan Chowrangi
Erum Shopping
Nagan Chowrangi"
"G-19","https://mnzil.app/./vehicles/G-19","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","25","Hub filter plant","National Highway 5","Hub filter plant
Sultanabad - New Karachi
Shrine of Manghopir
Naya nazimabad - Main Gate
Qasba Mor
Banaras Bus Stop
Valika
Habib Bank Chowrangi
Bara Board
Jahangirabad
Golimar Old
Khamosh Colony - Nazimabad
Daak Khana - Liaquatabad
Liaquatabad No.10 - Lalukhet
Ghareebabad
Essa Nagri
NIPA Chowrangi
Hassan Square
Karachi Safari Park
Metro Safari Store
Aladin Park
Johar Mor
Johar Chowrangi
Pehlwan Goth
National Highway 5"
"G-27","https://mnzil.app/./vehicles/G-27","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","32","Afridi Chowk - Chisti Nagar","Safoora Chowrangi","Afridi Chowk - Chisti Nagar
Eid Gah Morh - Orangi
L Block Rd - Aziz Nagar
Sabri Chowk Rd - Orangi Town
Urdu Chowk - Orangi Town
Orangi No 10
Orangi 4
Orangi 5
Metro Cinema
Banaras Bus Stop
Abdullah Govt College for Women
Board Office Chowrangi
KDA Chowrangi
Ziauddin Hospital - North Nazimabad
Landi Kotal Chowrangi Roundabout
Peoples Chowrangi
Buffer Zone
Sohrab Goth
Fazal Mill - Block 21 Federal B Area
Lucky One Mall
Imtiaz Mega Store - Gulshan
Gulshan Chowrangi
NIPA Chowrangi
Karachi Safari Park
Metro Safari Store
Continental Sweets & Bakers - Gulistan-e-Johar
Johar Chowrangi
Johar Mor
Pehlwan Goth
PIA Society
Bakhtawar Goth - Gulistan e Jauhar
Safoora Chowrangi"
"G-3","https://mnzil.app/./vehicles/G-3","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","40","Safoora Chowrangi","Mohajir Camp No. 7",""
"G-7","https://mnzil.app/./vehicles/G-7","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","33","Safoora Chowrangi","Mohajir Camp","Safoora Chowrangi
Dow Ojha Campus
Mosamiyat
Karachi Univerity - Siver Jubilee Gate
NED University
University Road
NIPA Chowrangi
Sir Syed University (Rashid Minhas Rd.)
Old Sabzi Mandi
Expo Center
Hassan Square
Civic Center
New Town
Bahadurabad
Tariq Road
Society Graveyard
Khudadad Colony
Numaish Chowrangi
Urdu Bazar
Jama Cloth Market
Civil Hospital
City Court
Bolton Market
Tower
Agra Taj Colony
Gulbai
Meezan Head Office
Shershah
Mohajir Camp No. 7
Mohajir Camp No. 8
Nai Abadi
Gulshan Ghazi
Mohajir Camp"
"Gulistan","https://mnzil.app/./vehicles/Gulistan","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","35","Bhitaiabad","Saudi Embassy - DHA Phase 5","Bhitaiabad
Habib University
Johar Chowrangi
Johar Mor
NIPA Chowrangi
Karachi Safari Park
Metro Safari Store
Federal Urdu University - University Rd
Hassan Square
Expo Center
Civic Center
New Town
Jail Chowrangi
Numaish Chowrangi
Seventh-day Adventist Hospital
Urdu Bazar
Jama Cloth Market
Civil Hospital
City Court
Bolton Market
Tower
Bahria Complex 1
Lalazar
Bahria Complex 2
Bahria Complex 3
American Embassy Karachi
Mai Kolachi Road
Boat Basin
Bilawal Chowrangi
South City Hospital - Clifton
Abdullah Shah Ghazi
Khayaban-e-Ittehad
DHA Phase 7
Sea View - Clifton
Saudi Embassy - DHA Phase 5"
"Ilyas","https://mnzil.app/./vehicles/Ilyas","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","47","Ittehad Town","Bhains Colony Mor",""
"Imran","https://mnzil.app/./vehicles/Imran","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","14","Hawksbay Beach","Qayyumabad","Hawksbay Beach
Pakistan Marine Academy Maripur
Gulbai
Agra Taj Colony
IC Bridge
Kharadar
Tower
Boat Basin
Punjab Chowrangi
Gold Mark Shopping Mall 1
Askari 1 - Karachi
KPT Interchange
Imtiaz Store - KPT Interchange
Qayyumabad"
"Khan","https://mnzil.app/./vehicles/Khan","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","35","Abdullah Chowk","Abdullah Shah Ghazi","Abdullah Chowk
KDA Flats- Surjani
Karimi Chowrangi
4K Chowrangi
2 Minute Chowrangi
Road 2400 - Aisha Complex
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi
Annu Bhai Park
Enquiry Office
Nazimabad No. 1
Sanitary Market (Gulbahar)
Lasbela
Patel Para (Guru Mandir)
Numaish Chowrangi"
"Marwat","https://mnzil.app/./vehicles/Marwat","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","44","Bhudni Goth","Shireen Jinnah Colony","Bhudni Goth
Hawksbay Beach
Pakistan Marine Academy Maripur
Truck Ada - Mauripur
PAF Masroor Base - Mauripur
Gulbai
Agra Taj Colony
ICI Bridge
Kharadar
Tower
Bolton Market
City Court
Light House
Civil Hospital
Jama Cloth Market
Urdu Bazar
Numaish Chowrangi
Khudadad Colony
Tariq Road
Allah Wali Chowrangi - Tariq Road
Nursery
Lal Kothi Shahrah-e-Faisal
Baloch Colony Stop
Drigh Road
Malir Halt
Kala Board Malir
Malir 15
Malir Court
Quaidabad
Dawood Chowrangi
Murtaza Chowrangi
Singer Chowrangi
Shaan Chowrangi (Chamra Chowrangi)
Godam Chowrangi
Qayyumabad
Akhtar Colony
Khayaban-e-Shahbaz
Badar Commercial 26 Street
Neelam Colony
Abdullah Shah Ghazi
Clifton
Bilawal Chowrangi
Shireen Jinnah Colony"
"MashaAllah","https://mnzil.app/./vehicles/MashaAllah","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","25","Hijrat Colony","Khairabad - Gulshan-e-Zia","Hijrat Colony
Sultanabad (New Haji Camp)
Lalazar
Netty Jetty Bridge
Tower
Bolton Market
City Court
Light House
Civil Hospital
Jama Cloth Market
Tibet Center
Maki Masjid - Saddar
Garden
Rexer Line
Golimar Old
Bara Board
Habib Bank Chowrangi
Valika
Banaras Bus Stop
Orangi 5
Orangi 12
Orangi 13
Orangi 14
Gulshan-e-Bihar
Khairabad - Gulshan-e-Zia"
"Mashriq","https://mnzil.app/./vehicles/Mashriq","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","27","Bhains Colony Mor","Naval Colony","Bhains Colony Mor
Gul Ahmed Chowrangi
Dawood Chowrangi
Murtaza Chowrangi
Indus Chowrangi
Bilal Chowrangi
Vita Chowrangi - Korangi
Brookes Chowrangi
KPT Interchange
Imtiaz Store - KPT Interchange
Akhtar Colony
Gold Mark Shopping Mall 1
Defence Mor
Gora Qabaristan
Saddar
Garden
Fuwara Chowk - Garden West Area
Bara Board
Habib Bank Chowrangi
SITE Police Station - A
Metroville Khyber Gate
Faqir Colony
Pareshan Chowk - Faqir Colony Rd
Jungle School (Baldia)
Police Training Center Saeedabad
Mach Mor
Naval Colony"
"Masood","https://mnzil.app/./vehicles/Masood","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","29","Bhains Colony Mor","Khuda Ki Basti - Taiser Town","Nagan Chowrangi
UP Mor
Power House Chowrangi
4K Chowrangi"
"Muslim","https://mnzil.app/./vehicles/Muslim","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","45","Keamari","Gulshan e Hadeed","Keamari
Jackson Market
Port Grand Karachi
Tower
I.I. Chundrigar
Bolton Market
City Court
Light House
Civil Hospital
Jama Cloth Market
Shaheen Complex
Arts Council of Pakistan Karachi
Cantt station
Jinnah Hospital
Regent Plaza
FTC Building
Nursery
Laal Kothi Bus Stop
Fine House
Baloch Colony Stop
Awami Markaz
PAF Museum
Karsaz
PAF Base Faisal
Drigh Road
Nata Khan
Shah Faisal Colony Gate
Chhota Gate
Wireless Gate Bus Stop
Kala Board Malir
Malir 15
Malir Halt
Malir Court
Murghi Khana
Quaidabad
Manzil Pump
Bhains Colony Mor
FAST University - Bhains Colony
Chowkandi Mor
Abdullah Goth
Razzaqabad
Steel Mill Mor
Pipri Goth
National Highway 5
Gulshan e Hadeed"
"N","https://mnzil.app/./vehicles/N","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","5","Karimabad - Meena Bazaar","Shireen Jinnah Colony",""
"N-4","https://mnzil.app/./vehicles/N-4","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","12","Metroville Khyber Gate","Abdullah Shah Ghazi","Metroville Khyber Gate
Frontier Morr Metroville
Meezan Head Office
Gulbai
Tower
Agra Taj Colony
Keamari
Masan Chowk
Shireen Jinnah Colony
Gizri
Clifton
Abdullah Shah Ghazi"
"N-5","https://mnzil.app/./vehicles/N-5","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","27","Naval Colony","Shaan Chowrangi (Chamra Chowrangi)","Naval Colony
Fareed Colony - Orangi Town
Urdu Chowk - Orangi Town
Orangi No 10
Orangi 5
Banaras Bus Stop
METRO Manghopir Store
Habib Bank Chowrangi
Siemens Chowrangi
Haroonabad
Ghani Chowrangi
Shershah
Meezan Head Office
Gulbai
Agra Taj Colony
Tower
MT Khan Road
PIDC
Cantt station
Jinnah Hospital
Kala Pul
NMC Hospital
NADRA Mega Centre DHA
Akhtar Colony
Qayyumabad
Buscuit Factory
Shaan Chowrangi (Chamra Chowrangi)"
"New Afridi","https://mnzil.app/./vehicles/New-Afridi","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","26","Bhains Colony Mor","Gulshan Ghazi","Bhains Colony Mor
PMTF - Jumma Goth
Mansehra Colony
Murtaza Chowrangi
Godam Chowrangi
Qayyumabad
Defence Mor
Punjab Chowrangi
American Embassy Karachi
Saudi Embassy - DHA Phase 5
Abdullah Shah Ghazi
Shireen Jinnah Colony
Masan Chowk
Tower
Agra Taj Colony
Gulbai
Meezan Head Office
Shershah
Ghani Chowrangi
Haroonabad
Siemens Chowrangi
Habib Bank Chowrangi
Metroville Khyber Gate
Mominabad - Orangi Town
Faqir Colony
Gulshan Ghazi"
"P-3","https://mnzil.app/./vehicles/P-3","https://mnzil.app/_next/image?url=%2Fbus-black.png&w=384&q=75","Bus","19","Shireen Jinnah Colony","Abdullah Mor - Surjani","Lasbela
Nagan Chowrangi
UP Mor
2 Minute Chowrangi"
