"Vehicle Name","Vehicle URL","Vehicle Image","Vehicle Type","Total Stops","Starting Point","Ending Point","Station List"
"U-5","https://mnzil.app/./vehicles/U-5","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","13","Machchi Market (New Karachi)","KDA Chowrangi","Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Hyderi Market
Five Star Chowrangi"
"V-1","https://mnzil.app/./vehicles/V-1","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","22","Baba Mor","Garden","UP Mor
Nagan Chowrangi
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market
Board Office Chowrangi
Annu Bhai Park
Enquiry Office
Nazimabad No. 1
Sanitary Market (Gulbahar)
Lasbela"
"W-11 Chinchi","https://mnzil.app/./vehicles/W-11-Chinchi","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","15","Gulshan Ghazi","Daak Khana - Liaquatabad",""
"W-86","https://mnzil.app/./vehicles/W-86","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","21","Lyari Basti - Taiser Town","Teen Hatti","KDA Flats- Surjani
4K Chowrangi
2 Minute Chowrangi
Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi"
"X-2","https://mnzil.app/./vehicles/X-2","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","11","ICI Bridge","Yousuf Goth",""
"Z","https://mnzil.app/./vehicles/Z","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","6","Ittehad Town","Islam Chowk - Orangi Town","Ittehad Town
Eid Gah Morh - Orangi
L Block Rd - Aziz Nagar
Orangi 5
Dabba Mor - Orangi Town
Islam Chowk - Orangi Town"
"Z-4","https://mnzil.app/./vehicles/Z-4","https://mnzil.app/_next/image?url=%2Fchinchi.png&w=384&q=75","Chinchi","5","Shershah","Haroonabad","Shershah
Ghani Chowrangi
Siemens Chowrangi
Habib Bank Chowrangi
Haroonabad"
"EV-01","https://mnzil.app/./vehicles/EV-01","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","28","CMH Malir Cantt","Dolmen Mall - Clifton","CMH Malir Cantt
Tank Chowk
Model Colony Mor
Malir Halt
Security Printing Press
Wireless Gate Bus Stop
Chhota Gate
Shah Faisal Colony Gate
Nata Khan
Drigh Road
PAF Base Faisal
Karsaz
PAF Museum
Awami Markaz
Baloch Colony Stop
Fine House
Laal Kothi Bus Stop
Nursery
FTC Building
Kala Pul
NMC Hospital
Sunset Boulevard
Defence Mor
Rahat Park - DHA Phase 7
Ayesha Masjid - DHA
Badar Commercial 26 Street
Clock Tower DHA
Dolmen Mall - Clifton"
"EV-02","https://mnzil.app/./vehicles/EV-02","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","8","Bahria Town","Malir Halt","Bahria Town
Karachi Toll Plaza - M9
Baqai University
Check Post 5 Malir Cantt
Check Post 6 Malir Cantt
Model Colony Mor
Security Printing Press
Malir Halt"
"EV-03","https://mnzil.app/./vehicles/EV-03","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","12","Check Post 5 Malir Cantt","Numaish Chowrangi","Numaish Chowrangi"
"EV-04","https://mnzil.app/./vehicles/EV-04","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","6","Ayesha Manzil","Bahria Town",""
"EV-05","https://mnzil.app/./vehicles/EV-05","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","9","Al Asif Square","DHA City Karachi","Al Asif Square
Maymar Mor
New Sabzi Mandi
Baqai University
Karachi Toll Plaza - M9
Dumba Goth
Bahria Town
Kathore
DHA City Karachi"
"R-01","https://mnzil.app/./vehicles/R-01","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","25","Model Colony Mor","Dockyard",""
"R-02","https://mnzil.app/./vehicles/R-02","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","29","Power House Chowrangi","Indus Hospital - Korangi","Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Shafiq Mor
Sohrab Goth
Sagheer Centre - FB Area
Lucky One Mall
Imtiaz Mega Store - Gulshan
Gulshan Chowrangi
NIPA Chowrangi
Aladin Park
Johar Chowrangi
Johar Mor
Millennium Mall
Army Public School
Drigh Road
Shama Shopping Center
Shah Faisal Colony 2
Singer Chowrangi
Khaddi Stop
Sector 36 Landhi
Sector 35 Landhi
Sector 33 Korangi
Sector 32 Landhi
Gulzar Colony
Nasir Jump
District Court Korangi
Indus Hospital - Korangi"
"R-03","https://mnzil.app/./vehicles/R-03","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","39","Power House Chowrangi","Nasir Jump","Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Erum Shopping
Sakhi Hasan Chowrangi
Jummah Bazar (Bhayani Shopping Center)
Five Star Chowrangi
Hyderi Market"
"R-04","https://mnzil.app/./vehicles/R-04","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","25","Power House Chowrangi","Port Grand Karachi","Power House Chowrangi
Road 4200 - Saleem Centre
UP Mor
Nagan Chowrangi
Shafiq Mor
Sohrab Goth
Water Pump
Ayesha Manzil
Karimabad - Meena Bazaar
Liaquatabad No.10 - Lalukhet
Daak Khana - Liaquatabad
Teen Hatti
Jehangir Road
New Town
Numaish Chowrangi
Gul Plaza
Tibet Center
Mobile Market Saddar
Urdu Bazar
Jama Cloth Market
Civil Hospital
City Court
Bolton Market
Tower
Port Grand Karachi"
"R-09","https://mnzil.app/./vehicles/R-09","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","40","Gulshan e Hadeed","Tower","Gulshan e Hadeed
Salahuddin Ayubi Road
National Highway 5
Steel Mill Mor
Port Qasim Mor
Razzaqabad
Abdullah Goth
Chowkandi Mor
FAST University - Bhains Colony
Bhains Colony Mor
Manzil Pump
Quaidabad
Murghi Khana
Nadra Center
Malir Court
Malir 15
Kala Board Malir
Malir Halt
Wireless Gate Bus Stop
Chhota Gate
Shah Faisal Colony Gate
Nata Khan
Drigh Road
PAF Base Faisal
Karsaz
PAF Museum
Awami Markaz
Baloch Colony Stop
Fine House
Laal Kothi Bus Stop
Nursery
FTC Building
Aisha Bawany College
Regent Plaza
Metropole
Arts Council of Pakistan Karachi
Shaheen Complex
City Railway
I.I. Chundrigar
Tower"
"R-10","https://mnzil.app/./vehicles/R-10","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","18","Numaish Chowrangi","Ibrahim Hyderi","Numaish Chowrangi"
"R-11","https://mnzil.app/./vehicles/R-11","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","18","Miran Nakka Lyari","Shireen Jinnah Colony","Miran Nakka Lyari
Gulistan Colony
Bihar Colony
Agra Taj Colony
Daryabad
Dockyard
KPT Bridge
Bahria Complex 3
MT Khan Road
PIDC
Bahria Complex 4
Submarine Chowk
Khadda Market
Abdullah Shah Ghazi
Bilawal Chowrangi
South City Hospital - Clifton
Ziauddin University - Clifton
Shireen Jinnah Colony"
"R-12","https://mnzil.app/./vehicles/R-12","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","33","Memon Goth - Gadap Town","FTC Building","Memon Goth - Gadap Town
Sommar Chandani Goth
Alize Garden
Falaknaz Dreams - Gadap Town
Naddi Kinara
Khokhrapar
Saudabad Chowrangi
RCD Ground
Kala Board Malir
Malir 15
Malir Court
Nadra Center
Murghi Khana
Quaidabad
Dawood Chowrangi
Babar Market
Sector 36 Landhi
Sector 35 Landhi
Sector 33 Korangi
Sector 32 Landhi
Gulzar Colony
Nasir Jump
Korangi Crossing Road
District Court Korangi
Indus Hospital - Korangi
Defence Mor
Sunset Boulevard
Jut Land
NMC Hospital
Kala Pul
Lines Area
Lucky Star - Saddar
FTC Building"
"R-13","https://mnzil.app/./vehicles/R-13","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","6","Tower","Hawksbay Beach","Tower
ICI Bridge
Agra Taj Colony
Gulbai
PAF Masroor
Hawksbay Beach"
"R-14","https://mnzil.app/./vehicles/R-14","https://mnzil.app/_next/image?url=%2Fbrt-bus.png&w=384&q=75","Peoples Bus","27","Nawaz Sharif Park - Gulshan-E-Maymar","Tower","Nawaz Sharif Park - Gulshan-E-Maymar
Ahsanabad
Maymar Mor
Jamali Flyover
Sachal Mor - Sachal Goth
Punjab Adda - Bus Stand
Al Asif Square
Sohrab Goth
Water Pump
Ayesha Manzil
Karimabad - Meena Bazaar
Liaquatabad No.10 - Lalukhet
Daak Khana - Liaquatabad
Teen Hatti
Jehangir Road
Guru Mandir
Numaish Chowrangi
Gul Plaza
Tibet Center
Mobile Market Saddar
Urdu Bazar
Jama Cloth Market
Civil Hospital
Light House
City Court
Bolton Market
Tower"
